CVE-ID,MITRE Assign Date,Patch Date,Exploit Date,ZDI Published Date,CVE Description,ZDI Description,Severity Score,In ZDI,Zero Day Exploit
cve-2015-2342,2015-03-18,2015-10-13 00:00:00,2015-02-17 00:00:00,2015-10-02,the jmx rmi servic vmware vcenter server 5.0 u3e 5.1 u3b 5.5 u3 6.0 u1 restrict registr mbean allow remot attack execut arbitrari code via rmi protocol,thi vulner allow remot attack execut arbitrari code vulner instal vmware vcenter server authent requir exploit vulnerability.th specif flaw exist configur jmx remot interfac thi interfac allow remot attack regist attacker-control mbean thi vulner leverag attack gain remot code execut context system,10.0,TRUE,True
cve-2015-2432,2015-03-19,2019-05-15 00:00:00,2015-08-21 00:00:00,,atmfd.dll window adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow remot attack execut arbitrari code via craft opentyp font aka `` opentyp font pars vulner '',,0,FALSE,True
cve-2015-2455,2015-03-19,2019-05-15 00:00:00,2015-08-21 00:00:00,2015-08-11,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 offic 2007 sp3 2010 sp2 live meet 2007 consol lync 2010 lync 2010 attende lync 2013 sp1 lync basic 2013 sp1 silverlight 5.1.40728 .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 allow remot attack execut arbitrari code via craft truetyp font aka `` truetyp font pars vulner '' differ vulner cve-2015-2456,thi vulner allow remot attack execut arbitrari code vulner instal microsoft window user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within process iup instruct opcod 0x31 truetyp font A craft font caus point patch modifi arbitrari address window kernel thi leverag attack run arbitrari code context system,10.0,TRUE,True
cve-2015-2456,2015-03-19,2019-05-15 00:00:00,2015-08-21 00:00:00,,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 offic 2007 sp3 2010 sp2 live meet 2007 consol lync 2010 lync 2010 attende lync 2013 sp1 lync basic 2013 sp1 silverlight 5.1.40728 .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 allow remot attack execut arbitrari code via craft truetyp font aka `` truetyp font pars vulner '' differ vulner cve-2015-2455,,0,FALSE,True
cve-2015-2458,2015-03-19,2019-05-14 00:00:00,2015-08-21 00:00:00,,atmfd.dll window adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft opentyp font aka `` opentyp font pars vulner '' differ vulner cve-2015-2459 cve-2015-2461,,0,FALSE,True
cve-2015-2459,2015-03-19,2019-05-17 00:00:00,2015-08-21 00:00:00,,atmfd.dll window adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft opentyp font aka `` opentyp font pars vulner '' differ vulner cve-2015-2458 cve-2015-2461,,0,FALSE,True
cve-2015-2460,2015-03-19,2019-05-17 00:00:00,2015-08-21 00:00:00,,atmfd.dll window adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 allow remot attack execut arbitrari code via craft opentyp font aka `` opentyp font pars vulner '',,0,FALSE,True
cve-2015-2461,2015-03-19,2019-05-14 00:00:00,2015-08-21 00:00:00,,atmfd.dll window adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft opentyp font aka `` opentyp font pars vulner '' differ vulner cve-2015-2458 cve-2015-2459,,0,FALSE,True
cve-2015-2462,2015-03-19,2019-05-15 00:00:00,2015-08-21 00:00:00,,atmfd.dll window adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 allow remot attack execut arbitrari code via craft opentyp font aka `` opentyp font pars vulner '',,0,FALSE,True
cve-2015-2463,2015-03-19,2019-05-15 00:00:00,2015-08-21 00:00:00,,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 offic 2007 sp3 2010 sp2 live meet 2007 consol lync 2010 lync 2010 attende lync 2013 sp1 lync basic 2013 sp1 silverlight 5.1.40728 .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 allow remot attack execut arbitrari code via craft truetyp font aka `` truetyp font pars vulner '' differ vulner cve-2015-2464,,0,FALSE,True
cve-2015-2464,2015-03-19,2019-05-15 00:00:00,2015-08-21 00:00:00,,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 offic 2007 sp3 2010 sp2 live meet 2007 consol lync 2010 lync 2010 attende lync 2013 sp1 lync basic 2013 sp1 silverlight 5.1.40728 .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 allow remot attack execut arbitrari code via craft truetyp font aka `` truetyp font pars vulner '' differ vulner cve-2015-2463,,0,FALSE,True
cve-2015-2507,2015-03-19,2019-05-15 00:00:00,2015-09-22 00:00:00,,the adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` font driver elev privileg vulner '' differ vulner cve-2015-2512,,0,FALSE,True
cve-2015-2509,2015-03-19,2019-05-15 00:00:00,2015-09-08 00:00:00,,window media center microsoft window vista sp2 window 7 sp1 window 8 window 8.1 allow user-assist remot attack execut arbitrari code via craft media center link mcl file aka `` window media center rce vulner '',,0,FALSE,True
cve-2015-2511,2015-03-19,2019-05-14 00:00:00,2015-09-22 00:00:00,,the kernel-mod driver microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` win32k memori corrupt elev privileg vulner '' differ vulner cve-2015-2517 cve-2015-2518 cve-2015-2546,,0,FALSE,True
cve-2015-2512,2015-03-19,2019-05-15 00:00:00,2015-09-22 00:00:00,,the adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` font driver elev privileg vulner '' differ vulner cve-2015-2507,,0,FALSE,True
cve-2015-2517,2015-03-19,2019-05-14 00:00:00,2015-09-22 00:00:00,,the kernel-mod driver microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` win32k memori corrupt elev privileg vulner '' differ vulner cve-2015-2511 cve-2015-2518 cve-2015-2546,,0,FALSE,True
cve-2015-2518,2015-03-19,2019-05-14 00:00:00,2015-09-22 00:00:00,,the kernel-mod driver microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` win32k memori corrupt elev privileg vulner '' differ vulner cve-2015-2511 cve-2015-2517 cve-2015-2546,,0,FALSE,True
cve-2015-2524,2015-03-19,2019-05-14 00:00:00,2015-09-15 00:00:00,,microsoft window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 properli constrain imperson level allow local user gain privileg via craft applic aka `` window task manag elev privileg vulner '' differ vulner cve-2015-2528,,0,FALSE,True
cve-2015-2525,2015-03-19,2019-05-14 00:00:00,2015-09-15 00:00:00,,task schedul microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user bypass intend filesystem restrict delet arbitrari file via unspecifi vector aka `` window task file delet elev privileg vulner '',,0,FALSE,True
cve-2015-2527,2015-03-19,2019-05-14 00:00:00,2015-09-15 00:00:00,,the process-initi implement win32k.si kernel-mod driver microsoft window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 properli constrain imperson level allow local user gain privileg via craft applic aka `` win32k elev privileg vulner '',,0,FALSE,True
cve-2015-2528,2015-03-19,2019-05-14 00:00:00,2015-09-15 00:00:00,,microsoft window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 properli constrain imperson level allow local user gain privileg via craft applic aka `` window task manag elev privileg vulner '' differ vulner cve-2015-2524,,0,FALSE,True
cve-2015-2553,2015-03-19,2019-05-15 00:00:00,2015-10-15 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 mishandl junction mountpoint creation make easier local user gain privileg leverag certain sandbox access aka `` window mount point elev privileg vulner '',,0,FALSE,True
cve-2015-2554,2015-03-19,2019-05-15 00:00:00,2015-10-30 00:00:00,,the kernel microsoft window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` window object refer elev privileg vulner '',,0,FALSE,True
cve-2015-2794,2015-03-30,2017-02-09 00:00:00,2016-05-06 00:00:00,,the instal wizard dotnetnuk dnn 7.4.1 allow remot attack reinstal applic gain superus access via direct request install/installwizard.aspx,,0,FALSE,True
cve-2015-2824,2015-04-01,2015-08-06 00:00:00,2015-04-02 00:00:00,,multipl sql inject vulner simpl ad manag plugin 2.7.97 wordpress allow remot attack execut arbitrari sql command via 1 hit paramet sam_hit action sam-ajax.php 2 cstr paramet load_post action sam-ajax-admin.php 3 searchterm paramet load_combo_data action sam-ajax-admin.php 4 subscrib 5 contributor 6 author 7 editor 8 admin 9 sadmin paramet load_us action sam-ajax-admin.php,,0,FALSE,True
cve-2015-3090,2015-04-09,2015-05-14 00:00:00,2015-05-12 00:00:00,,adob flash player 13.0.289 14.x 17.x 17.0.188 window OS X 11.2.202.460 linux adob air 17.0.172 adob air sdk 17.0.172 adob air sdk compil 17.0.172 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2015-3078 cve-2015-3089 cve-2015-3093,,0,FALSE,True
cve-2015-3105,2015-04-09,2015-06-10 00:00:00,2015-05-12 00:00:00,,adob flash player 13.0.292 14.x 18.x 18.0.160 window OS X 11.2.202.466 linux adob air 18.0.144 window 18.0.143 OS X android adob air sdk 18.0.144 window 18.0.143 OS X adob air sdk compil 18.0.144 window 18.0.143 OS X allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector,,0,FALSE,True
cve-2015-3440,2015-04-28,2015-08-03 00:00:00,2015-04-27 00:00:00,,cross-sit script xss vulner wp-includes/wp-db.php wordpress 4.2.1 allow remot attack inject arbitrari web script html via long comment improperli store limit mysql text data type,,0,FALSE,True
cve-2015-4018,2015-05-18,2015-05-22 00:00:00,2015-05-20 00:00:00,,sql inject vulner feedwordpresssyndicationpage.class.php feedwordpress plugin 2015.0514 wordpress allow remot authent user execut arbitrari sql command via link_id paramet updat action syndication.php page wp-admin/admin.php,,0,FALSE,True
cve-2015-4062,2015-05-22,2015-05-28 00:00:00,2015-05-26 00:00:00,,sql inject vulner includes/nsp_search.php newstatpress plugin 0.9.9 wordpress allow remot authent user execut arbitrari sql command via where1 paramet nsp_search page wp-admin/admin.php,,0,FALSE,True
cve-2015-4064,2015-05-22,2015-05-28 00:00:00,2015-05-26 00:00:00,,sql inject vulner modules/module.ab-testing.php land page plugin 1.8.5 wordpress allow remot authent user execut arbitrari sql command via post paramet edit delete-vari action wp-admin/post.php,,0,FALSE,True
cve-2015-4066,2015-05-22,2015-05-28 00:00:00,2015-05-26 00:00:00,,multipl sql inject vulner admin/handlers.php gigpress plugin 2.3.9 wordpress allow remot authent user execut arbitrari sql command via 1 show_artist_id 2 show_venue_id paramet add action gigpress.php page wp-admin/admin.php,,0,FALSE,True
cve-2015-4133,2015-05-28,2015-05-29 00:00:00,2015-04-21 00:00:00,,unrestrict file upload vulner admin/scripts/fileuploader/php.php reflex galleri plugin 3.1.4 wordpress allow remot attack execut arbitrari php code upload file php extens access via direct request file uploads/ directori,,0,FALSE,True
cve-2015-5065,2015-06-24,2015-06-24 00:00:00,2015-06-10 00:00:00,,absolut path travers vulner proxy.php googl currenc lookup paypal currenc convert basic for woocommerc plugin 1.4 wordpress allow remot attack read arbitrari file via full pathnam requrl paramet,,0,FALSE,True
cve-2015-5471,2015-07-10,2016-01-20 00:00:00,2015-07-13 00:00:00,,absolut path travers vulner include/user/download.php swim team plugin 1.44.10777 wordpress allow remot attack read arbitrari file via full pathnam file paramet,,0,FALSE,True
cve-2015-6100,2015-08-14,2019-05-15 00:00:00,2015-11-23 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow local user gain privileg via craft applic aka `` window kernel memori elev privileg vulner '' differ vulner cve-2015-6101,,0,FALSE,True
cve-2015-6101,2015-08-14,2019-05-15 00:00:00,2015-11-23 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow local user gain privileg via craft applic aka `` window kernel memori elev privileg vulner '' differ vulner cve-2015-6100,,0,FALSE,True
cve-2015-6102,2015-08-14,2019-05-16 00:00:00,2015-11-23 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow local user bypass kaslr protect mechan consequ discov driver base address via craft applic aka `` window kernel memori inform disclosur vulner '',,0,FALSE,True
cve-2015-6103,2015-08-14,2019-05-17 00:00:00,2015-11-16 00:00:00,,the adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow remot attack execut arbitrari code via craft embed font aka `` window graphic memori remot code execut vulner '' differ vulner cve-2015-6104,,0,FALSE,True
cve-2015-6104,2015-08-14,2019-05-17 00:00:00,2015-11-16 00:00:00,,the adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow remot attack execut arbitrari code via craft embed font aka `` window graphic memori remot code execut vulner '' differ vulner cve-2015-6103,,0,FALSE,True
cve-2015-6132,2015-08-14,2019-05-15 00:00:00,2015-12-14 00:00:00,,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 mishandl librari load allow local user gain privileg via craft applic aka `` window librari load remot code execut vulner '',,0,FALSE,True
cve-2015-6171,2015-08-14,2019-05-15 00:00:00,2015-12-17 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow local user gain privileg via craft applic aka `` window kernel memori elev privileg vulner '' differ vulner cve-2015-6173 cve-2015-6174,,0,FALSE,True
cve-2015-6173,2015-08-14,2019-05-15 00:00:00,2015-12-17 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow local user gain privileg via craft applic aka `` window kernel memori elev privileg vulner '' differ vulner cve-2015-6171 cve-2015-6174,,0,FALSE,True
cve-2015-6174,2015-08-14,2019-05-15 00:00:00,2015-12-17 00:00:00,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 allow local user gain privileg via craft applic aka `` window kernel memori elev privileg vulner '' differ vulner cve-2015-6171 cve-2015-6173,,0,FALSE,True
cve-2015-6809,2015-09-04,2015-09-04 00:00:00,2015-09-01 00:00:00,,multipl cross-sit script xss vulner bedita 3.6.0 allow remot attack inject arbitrari web script html via 1 cfg projectnam paramet index.php/admin/saveconfig 2 data stats_provider_url paramet index.php/areas/savearea 3 data descript paramet index.php/areas/savesect,,0,FALSE,True
cve-2015-7309,2015-09-22,2015-09-23 00:00:00,2015-09-15 00:00:00,,the theme editor bolt 2.2.5 check file extens renam file allow remot authent user execut arbitrari code renam craft file directli access,,0,FALSE,True
cve-2015-7547,2015-09-29,2016-04-25 00:00:00,2016-02-16 00:00:00,,multipl stack-bas buffer overflow 1 send_dg 2 send_vc function libresolv librari gnu C librari aka glibc libc6 2.23 allow remot attack caus denial servic crash possibl execut arbitrari code via craft dn respons trigger call getaddrinfo function af_unspec af_inet6 address famili relat perform `` dual a/aaaa dn queri '' libnss_dns.so.2 nss modul,,0,FALSE,True
cve-2015-7562,2015-09-29,2017-04-20 00:00:00,2016-03-14 00:00:00,,multipl cross-sit script xss vulner teampass 2.1.24 earlier allow remot attack inject arbitrari web script html via 1 label valu item 2 name role,,0,FALSE,True
cve-2015-8309,2015-11-20,2017-03-29 00:00:00,2016-09-13 00:00:00,,directori travers vulner cherri music 0.36.0 allow remot authent user read arbitrari file via `` valu '' paramet `` download '',,0,FALSE,True
cve-2016-0006,2015-12-04,2019-05-17 00:00:00,2016-01-25 00:00:00,,the sandbox implement microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 mishandl repars point allow local user gain privileg via craft applic aka `` window mount point elev privileg vulner '' differ vulner cve-2016-0007,,0,FALSE,True
cve-2016-0007,2015-12-04,2019-05-17 00:00:00,2016-01-25 00:00:00,,the sandbox implement microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 mishandl repars point allow local user gain privileg via craft applic aka `` window mount point elev privileg vulner '' differ vulner cve-2016-0006,,0,FALSE,True
cve-2016-0016,2015-12-04,2019-05-15 00:00:00,2016-01-13 00:00:00,,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 mishandl dll load allow local user gain privileg via craft applic aka `` dll load remot code execut vulner '',,0,FALSE,True
cve-2016-0491,2015-12-09,2016-06-07 00:00:00,2016-04-13 00:00:00,2016-01-25,unspecifi vulner oracl applic test suit compon oracl enterpris manag grid control 12.4.0.2 12.5.0.2 allow remot attack affect integr avail via unknown vector relat load test web app note previou inform januari 2016 cpu oracl comment third-parti claim uploadfileact servlet allow remot authent user upload execut arbitrari file via asterisk charact filetyp paramet,thi vulner allow remot attack execut arbitrari code vulner instal oracl applic test suit authent requir bypassed.th specif vulner uploadfileact servlet By provid filetyp paramet `` '' attack abl upload file arbitrari locat system An attack could leverag execut arbitrari code context system,9.0,TRUE,True
cve-2016-0846,2015-12-16,2016-04-20 00:00:00,2016-04-11 00:00:00,,libs/binder/imemory.cpp imemori nativ interfac android 4.x 4.4.4 5.0.x 5.0.2 5.1.x 5.1.1 6.x 2016-04-01 properli consid heap size allow attack gain privileg via craft applic demonstr obtain signatur signatureorsystem access aka intern bug 26877992,,0,FALSE,True
cve-2016-0951,2015-12-22,2016-02-18 00:00:00,2016-02-09 00:00:00,,adob photoshop CC 2014 15.2.4 photoshop CC 2015 16.1.2 bridg CC 6.2 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2016-0952 cve-2016-0953,,0,FALSE,True
cve-2016-0952,2015-12-22,2016-02-18 00:00:00,2016-02-09 00:00:00,,adob photoshop CC 2014 15.2.4 photoshop CC 2015 16.1.2 bridg CC 6.2 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2016-0951 cve-2016-0953,,0,FALSE,True
cve-2016-0953,2015-12-22,2016-02-18 00:00:00,2016-02-09 00:00:00,,adob photoshop CC 2014 15.2.4 photoshop CC 2015 16.1.2 bridg CC 6.2 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2016-0951 cve-2016-0952,,0,FALSE,True
cve-2016-0954,2015-12-22,2016-03-14 00:00:00,2016-03-09 00:00:00,,adob digit edit 4.5.1 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector,,0,FALSE,True
cve-2016-0956,2015-12-22,2016-02-18 00:00:00,2016-02-10 00:00:00,,the servlet post compon 2.3.6 apach sling use adob experi manag 5.6.1 6.0 6.1 allow remot attack obtain sensit inform via unspecifi vector,,0,FALSE,True
cve-2016-0964,2015-12-22,2016-02-17 00:00:00,2016-02-17 00:00:00,,adob flash player 18.0.329 19.x 20.x 20.0.306 window OS X 11.2.202.569 linux adob air 20.0.260 adob air sdk 20.0.260 adob air sdk compil 20.0.260 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2016-0965 cve-2016-0966 cve-2016-0967 cve-2016-0968 cve-2016-0969 cve-2016-0970 cve-2016-0972 cve-2016-0976 cve-2016-0977 cve-2016-0978 cve-2016-0979 cve-2016-0980 cve-2016-0981,,0,FALSE,True
