CVE-ID,MITRE Assign Date,CVE Description,OG Label,New Label
cve-2016-3087,2016-03-10,apach strut 2.3.19 2.3.20.2 2.3.21 2.3.24.1 2.3.25 2.3.28 dynam method invoc enabl allow remot attack execut arbitrari code via vector relat exclam mark oper rest plugin,t,t
cve-2016-3714,2016-03-30,the 1 ephemer 2 http 3 mvg 4 msl 5 text 6 show 7 win 8 plt coder imagemagick 6.9.3-10 7.x 7.0.1-1 allow remot attack execut arbitrari code via shell metacharact craft imag aka `` imagetragick '',t,t
cve-2016-3987,2016-04-08,the http server trend micro password manag allow remot web server execut arbitrari command via url paramet 1 api/openurlindefaultbrows 2 api/showsb,t,t
cve-2016-3986,2016-04-08,avast allow remot attack caus denial servic memori corrupt possibl execut arbitrari code via craft PE file relat authenticod pars,t,t
cve-2016-4004,2016-04-12,directori travers vulner dell openmanag server administr omsa 8.2 allow remot authent administr read arbitrari file via .. dot dot backslash file paramet viewfil,t,t
cve-2016-4264,2016-04-27,the offic open xml ooxml featur adob coldfus 10 updat 21 11 updat 10 allow remot attack read arbitrari file send tcp request intranet server via craft ooxml spreadsheet contain extern entiti declar conjunct entiti refer relat xml extern entiti xxe issu,t,t
cve-2016-4314,2016-04-27,directori travers vulner logview admin servic wso2 carbon 4.4.5 allow remot authent administr read arbitrari file via .. dot dot logfil paramet downloadgz-ajaxprocessor.jsp,t,t
cve-2016-4535,2016-05-05,integ signed error AV engin dat 8145 use mcafe livesaf 14.0 allow remot attack caus denial servic memori corrupt crash via craft pack execut,t,t
cve-2016-4558,2016-05-06,the bpf subsystem linux kernel 4.5.5 mishandl refer count allow local user caus denial servic use-after-fre possibl unspecifi impact via craft applic 1 system 32 Gb memori relat program refer count 2 1 Tb system relat map refer count,t,t
cve-2016-4806,2016-05-15,web2pi version 2.14.5 affect local file inclus vulner allow malici intend user read/access web server sensit file,t,t
cve-2016-4971,2016-05-24,gnu wget 1.18 allow remot server write arbitrari file redirect request http craft ftp resourc,t,t
cve-2016-5195,2016-05-31,race condit mm/gup.c linux kernel 2.x 4.x 4.8.3 allow local user gain privileg leverag incorrect handl copy-on-writ cow featur write read-onli memori map exploit wild octob 2016 aka `` dirti cow '',t,t
cve-2016-5228,2016-05-31,stack-bas buffer overflow playmacro function objectxmacro.objectxmacro wdmacctl.ocx micro focu rumba 9.x 9.3 HF 11997 9.4.x 9.4 HF 12815 allow remot attack execut arbitrari code via long macronam argument note refer mention cve-2016-5226 correct ID rumba vulner,t,t
cve-2016-5725,2016-06-18,directori travers vulner jcraft jsch 0.1.54 window mode channelsftp.overwrit allow remot sftp server write arbitrari file via .. dot dot backslash respons recurs get command,t,t
cve-2016-5845,2016-06-26,sap sapcar check return valu file oper extract file allow remot attack caus denial servic program crash via invalid file name archiv file aka sap secur note 2312905,t,t
cve-2016-6175,2016-07-06,eval inject vulner php-gettext 1.12 earlier allow remot attack execut arbitrari php code via craft plural form header,t,t
cve-2016-6195,2016-07-11,sql inject vulner forumrunner/includes/moderation.php vbulletin 4.2.2 patch level 5 4.2.3 patch level 1 allow remot attack execut arbitrari sql command via postid paramet forumrunner/request.php exploit wild juli 2016,t,t
cve-2016-6253,2016-07-20,mail.loc netbsd version 6.0 6.0.6 6.1 6.1.5 7.0 allow local user chang ownership append data arbitrari file target system via symlink attack user mailbox,t,t
cve-2016-6503,2016-08-01,the corba idl dissector wireshark 2.x 2.0.5 64-bit window platform properli interact visual c++ compil option allow remot attack caus denial servic applic crash via craft packet,t,t
cve-2016-6855,2016-08-18,eye gnome aka eog 3.16.5 3.17.x 3.18.x 3.18.3 3.19.x 3.20.x 3.20.4 use glib 2.44.1 allow remot attack caus denial servic out-of-bound write crash via vector involv pass invalid utf-8 gmarkup,t,t
cve-2016-7065,2016-08-23,the jmx servlet red hat jboss enterpris applic platform eap 4 5 allow remot authent user caus denial servic possibl execut arbitrari code via craft serial java object,t,t
cve-2016-7098,2016-08-26,race condit wget 1.17 earlier use recurs mirror mode download singl file might allow remot server bypass intend access list restrict keep http connect open,t,t
cve-2016-8016,2016-09-09,inform exposur intel secur virusscan enterpris linux vsel 2.0.3 earlier allow authent remot attack obtain exist unauthor file system via url paramet,t,t
cve-2016-7982,2016-09-09,directori travers vulner ecrire/exec/valider_xml.php spip 3.1.2 earlier allow remot attack enumer file system via var_url paramet valider_xml action,t,t
cve-2016-7980,2016-09-09,cross-sit request forgeri csrf vulner ecrire/exec/valider_xml.php spip 3.1.2 earlier allow remot attack hijack authent administr request execut xml valid local file via craft valider_xml request note issu combin cve-2016-7998 execut arbitrari php code,t,t
cve-2016-8580,2016-10-10,php object inject vulner exist multipl widget file alienvault ossim usm 5.3.2 these vulner allow arbitrari php code execut via magic method includ class,t,t
cve-2016-8582,2016-10-10,A vulner exist gauge.php alienvault ossim usm 5.3.2 allow attack execut arbitrari sql queri retriev databas inform read local system file via mysql 's load_fil,t,t
cve-2016-8581,2016-10-10,A persist xss vulner exist user-ag header login process alienvault ossim usm 5.3.2 allow attack steal session id log user current session view administr,t,t
cve-2016-8769,2016-10-18,huawei utp earlier utps-v200r003b015d16spc00c983 unquot servic path vulner lead truncat utp servic queri path An attack may put execut file search path affect servic obtain elev privileg execut file execut,t,t
cve-2016-9018,2016-10-25,improp handl repeat vrat chunk qcpfformat.dl allow attack caus null pointer derefer crash realnetwork realplay 18.1.5.705 craft .qcp media file,t,t
cve-2016-9150,2016-11-03,buffer overflow manag web interfac palo alto network pan-o 5.0.20 5.1.x 5.1.13 6.0.x 6.0.15 6.1.x 6.1.15 7.0.x 7.0.11 7.1.x 7.1.6 allow remot attack execut arbitrari code via unspecifi vector,t,t
cve-2016-9565,2016-11-22,magpierss use front-end compon nagio core 4.2.2 might allow remot attack read write arbitrari file spoof craft respons nagio rss feed server note vulner exist incomplet fix cve-2008-4796,t,t
cve-2016-9796,2016-12-02,alcatel-luc omnivista 8770 2.0 3.0 expos differ orb interfac queri use giop protocol tcp port 30024 An attack bypass authent omnivista invok method addjobset addjob executenow use run arbitrari command server privileg NT authority\system server note the discover state `` the vendor posit refer technic guidelin product secur deploy mitig issu mean appli proper firewal rule prevent unauthoris client connect omnivista server '',t,t
cve-2016-10010,2016-12-19,sshd openssh 7.4 privileg separ use creat forward unix-domain socket root might allow local user gain privileg via unspecifi vector relat serverloop.c,t,t
cve-2016-10009,2016-12-19,untrust search path vulner ssh-agent.c ssh-agent openssh 7.4 allow remot attack execut arbitrari local pkc 11 modul leverag control forward agent-socket,t,t
cve-2015-0218,2014-11-18,cross-sit request forgeri csrf vulner auth/shibboleth/logout.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent arbitrari user request trigger logout,f,f
cve-2015-0214,2014-11-18,message/externallib.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot authent user bypass messaging-dis set via web-servic request demonstr people-search request,f,f
cve-2015-0213,2014-11-18,multipl cross-sit request forgeri csrf vulner 1 editcategories.html 2 editcategories.php glossari modul moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent unspecifi victim,f,f
cve-2015-0216,2014-11-18,access.php lesson modul moodl 2.8.x 2.8.2 set risk_xss bit grader allow remot authent user conduct cross-sit script xss attack via craft essay feedback,f,f
cve-2015-0211,2014-11-18,mod/lti/ajax.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 consid moodle/cours manageact mod/lti addinst capabl proceed registered-tool list search allow remot authent user obtain sensit inform via request lti ajax servic,f,f
cve-2015-0121,2014-11-18,ibm ration requir compos 3.0 3.0.1.6 4.0 4.0.7 ration door next gener rdng 4.0 4.0.7 5.0 5.0.2 ltpa singl sign use webspher applic server termin requir manag RM session upon ltpa token expir allow remot attack obtain access leverag unattend workstat,f,f
cve-2015-0170,2014-11-18,ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow local user obtain sensit inform read cach data,f,f
cve-2015-0135,2014-11-18,ibm domino 8.5 8.5.3 fp6 if4 9.0 9.0.1 fp3 if2 allow remot attack execut arbitrari code caus denial servic integ truncat applic crash via craft gif imag aka spr klyh9t7nt9,f,f
cve-2015-0140,2014-11-18,An unspecifi activex control ibm spss statist 22.0 fp1 32-bit platform allow remot attack execut arbitrari code via craft html document,f,f
cve-2015-0120,2014-11-18,buffer overflow fastbackmount process ibm tivoli storag manag fastback 6.1 6.1.11.1 unspecifi impact remot attack vector,f,f
cve-2015-0297,2014-11-18,red hat jboss oper network 3.3.1 properli restrict access certain api allow remot attack execut arbitrari java method via 1 serverinvokerservlet 2 schedulerservic 3 caus denial servic disk consumpt via contentmanag,f,f
cve-2015-0202,2014-11-18,the mod_dav_svn server subvers 1.8.0 1.8.11 allow remot attack caus denial servic memori consumpt via larg number report request trigger travers fsf repositori node,f,f
cve-2015-0248,2014-11-18,the 1 mod_dav_svn 2 svnserv server subvers 1.6.0 1.7.19 1.8.0 1.8.11 allow remot attack caus denial servic assert failur abort via craft paramet combin relat dynam evalu revis number,f,f
cve-2015-0228,2014-11-18,the lua_websocket_read function lua_request.c mod_lua modul apach http server 2.4.12 allow remot attack caus denial servic child-process crash send craft websocket ping frame lua script call wsupgrad function,f,f
cve-2015-0130,2014-11-18,cross-sit script xss vulner jazz team server jazz foundat ibm ration collabor lifecycl manag clm 4.x 4.0.7 if6 5.x 5.0.2 if5 ration qualiti manag rqm 4.x 4.0.7 if6 5.x 5.0.2 if5 ration team concert rtc 4.x 4.0.7 if6 5.x 5.0.2 if5 ration requir compos rrc 4.x 4.0.7 ration door next gener rdng 4.x 4.0.7 if6 5.x 5.0.2 if5 allow remot authent user inject arbitrari web script html via craft url,f,f
cve-2015-0118,2014-11-18,ibm webspher messag broker toolkit 7 7007 if2 8 8005 if1 integr toolkit 9 9003 if1 distribut MQ client jar file support weak tl cipher might make easier remot attack obtain sensit inform snif network connect integr bu node,f,f
cve-2015-0173,2014-11-18,the http connection-manag function internet pass-thru ipt 2.1.2 ibm webspher MQ http disabl properli gener mqipt session id make easier remot attack bypass intend restrict MQ messag data predict ID valu,f,f
cve-2015-0240,2014-11-18,the netlogon server implement smbd samba 3.5.x 3.6.x 3.6.25 4.0.x 4.0.25 4.1.x 4.1.17 4.2.x 4.2.0rc5 perform free oper uniniti stack pointer allow remot attack execut arbitrari code via craft netlogon packet use serverpasswordset rpc api demonstr packet reach _netr_serverpasswordset function rpc_server/netlogon/srv_netlog_nt.c,f,t
cve-2015-0236,2014-11-18,libvirt 1.2.12 allow remot authent user obtain vnc password use vir_domain_xml_secur flag craft 1 snapshot virdomainsnapshotgetxmldesc interfac 2 imag virdomainsaveimagegetxmldesc interfac,f,f
cve-2015-0223,2014-11-18,unspecifi vulner apach qpid 0.30 earlier allow remot attack bypass access restrict qpidd via unknown vector relat 0-10 connect handl,f,f
cve-2015-0176,2014-11-18,cross-sit script xss vulner MQ XR websocket listen wmq telemetri ibm webspher MQ 8.0 8.0.2 allow remot attack inject arbitrari web script html via craft uri includ error respons,f,f
cve-2015-0237,2014-11-18,red hat enterpris virtual rhev manag 3.5.1 ignor permiss deni snapshot creation live storag migrat domain allow remot authent user caus denial servic prevent host start creat long snapshot chain,f,f
cve-2015-0245,2014-11-18,d-bu 1.4.x 1.6.x 1.6.30 1.8.x 1.8.16 1.9.x 1.9.10 valid sourc activationfailur signal allow local user caus denial servic activ failur error return leverag race condit involv send activationfailur signal systemd respond,f,f
cve-2015-0255,2014-11-18,x.org server aka xserver xorg-serv 1.16.3 1.17.x 1.17.1 allow remot attack obtain sensit inform process memori caus denial servic crash via craft string length valu xkbsetgeometri request,f,f
cve-2015-0189,2014-11-18,the cluster repositori manag ibm webspher MQ 7.5 7.5.0.5 8.0 8.0.2 allow remot authent administr caus denial servic memori overwrit daemon outag trigger multipl transmit-queu record,f,f
cve-2015-0267,2014-11-18,the red hat module-setup.sh script kexec-tool distribut kexec-tool 2.0.7-19 packag red hat enterpris linux allow local user write arbitrari file via symlink attack temporari file,f,f
cve-2015-0227,2014-11-18,apach wss4j 1.6.17 2.x 2.0.2 allow remot attack bypass requiresignedencrypteddatael configur via vector relat `` wrap attack '',f,f
cve-2015-0278,2014-11-18,libuv 0.10.34 properli drop group privileg allow context-depend attack gain privileg via unspecifi vector,f,f
cve-2015-0178,2014-11-18,the java overlay featur ibm bluemix liberti 1.13-20150209-1122 java properli support war applic allow remot attack obtain sensit inform via unspecifi vector,f,f
cve-2015-0012,2014-11-18,microsoft system center virtual machin manag vmm 2012 R2 updat rollup 4 properli valid role user allow local user obtain server virtual-machin administr privileg establish server session activ directori credenti aka `` virtual machin manag elev privileg vulner '',f,f
cve-2015-0251,2014-11-18,the mod_dav_svn server subvers 1.5.0 1.7.19 1.8.0 1.8.11 allow remot authent user spoof svn author properti via craft v1 http protocol request sequenc,f,f
cve-2015-0117,2014-11-18,the ldap server ibm domino 8.5.x 8.5.3 fp6 if6 9.x 9.0.1 fp3 if1 allow remot attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector aka spr klyh9slrgm,f,f
cve-2015-0179,2014-11-18,note system diagnost nsd ibm domino 8.5.x 8.5.3 fp6 if6 9.x 9.0.1 fp3 if1 allow local user obtain system privileg via unspecifi vector aka spr tchl9sst8v,f,t
cve-2015-0222,2014-11-18,modelmultiplechoicefield django 1.6.x 1.6.10 1.7.x 1.7.3 show_hidden_initi set true allow remot attack caus denial servic submit duplic valu trigger larg number sql queri,f,f
cve-2015-0219,2014-11-18,django 1.4.18 1.6.x 1.6.10 1.7.x 1.7.3 allow remot attack spoof wsgi header use underscor charact instead dash charact http header demonstr x-auth_us header,f,f
cve-2015-0252,2014-11-18,internal/xmlreader.cpp apach xerces-c 3.1.2 allow remot attack caus denial servic segment fault crash via craft xml data,f,t
cve-2015-0282,2014-11-18,gnutl 3.1 verifi rsa pkc 1 signatur algorithm match signatur algorithm certif allow remot attack conduct downgrad attack via unspecifi vector,f,f
cve-2015-0199,2014-11-18,the mmfslinux kernel modul ibm gener parallel file system gpf 3.4 3.4.0.32 3.5 3.5.0.24 4.1 4.1.7 allow local user caus denial servic memori corrupt via unspecifi character-devic ioctl call,f,f
cve-2015-0261,2014-11-18,integ signed error mobility_opt_print function ipv6 mobil printer tcpdump 4.7.2 allow remot attack caus denial servic out-of-bound read crash possibl execut arbitrari code via neg length valu,f,f
cve-2015-0137,2014-11-18,ibm powervc standard 1.2.0.x 1.2.0.4 1.2.1.x 1.2.2 valid hardwar manag consol hmc certif pre-login stage allow man-in-the-middl attack spoof devic via craft certif,f,f
cve-2015-0274,2014-11-18,the xf implement linux kernel 3.15 improperli use old size valu remot attribut replac allow local user caus denial servic transact overrun data corrupt possibl gain privileg leverag xf filesystem access,f,f
cve-2015-0290,2014-11-18,the multi-block featur ssl3_write_byt function s3_pkt.c openssl 1.2 1.2a 64-bit x86 platform ae NI support properli handl certain non-block i/o case allow remot attack caus denial servic pointer corrupt applic crash via unspecifi vector,f,f
cve-2015-0207,2014-11-18,the dtls1_listen function d1_lib.c openssl 1.2 1.2a properli isol state inform independ data stream allow remot attack caus denial servic applic crash via craft dtl traffic demonstr dtl 1 traffic dtl 1.2 server,f,f
cve-2015-0293,2014-11-18,the sslv2 implement openssl 0.9.8zf 1 1.0r 1.1 1.1m 1.2 1.2a allow remot attack caus denial servic s2_lib.c assert failur daemon exit via craft client-master-key messag,f,f
cve-2015-0142,2014-11-18,ibm openpag grc platform 6.2 if7 6.2.1 6.2.1.1 if5 7.0 fp4 7.1 fp1 allow remot authent user caus denial servic maintenance-mod transit data-storag outag call system administr mode function,f,f
cve-2015-0250,2014-11-18,xml extern entiti xxe vulner svg 1 png 2 jpg convers class apach batik 1.x 1.8 allow remot attack read arbitrari file caus denial servic via craft svg file,f,f
cve-2015-0272,2014-11-18,gnome networkmanag allow remot attack caus denial servic ipv6 traffic disrupt via craft mtu valu ipv6 router advertis RA messag differ vulner cve-2015-8215,f,f
cve-2015-0295,2014-11-18,the bmp decod qtgui QT 5.5 properli calcul mask use extract color compon allow remot attack caus denial servic divide-by-zero crash via craft bmp file,f,f
cve-2015-0279,2014-11-18,jboss richfac 4.5.4 allow remot attack inject express languag EL express execut arbitrari java code via paramet,f,f
cve-2015-0221,2014-11-18,the django.views.static.serv view django 1.4.18 1.6.x 1.6.10 1.7.x 1.7.3 read file entir line time allow remot attack caus denial servic memori consumpt via long line file,f,f
cve-2015-0134,2014-11-18,buffer overflow sslv2 implement ibm domino 8.5.x 8.5.1 fp5 if3 8.5.2 fp4 if3 8.5.3 fp6 if6 9.0 if7 9.0.1 fp2 if3 allow remot attack execut arbitrari code via unspecifi vector,f,f
cve-2015-0136,2014-11-18,powervc-iso-import ibm powervc 1.2.0.x 1.2.0.4 1.2.1.x 1.2.2 place access token command line ivm powerkvm manag allow local user obtain sensit inform list process,f,f
cve-2015-0273,2014-11-18,multipl use-after-fre vulner ext/date/php_date.c php 5.4.38 5.5.x 5.5.22 5.6.x 5.6.6 allow remot attack execut arbitrari code via craft serial input contain 1 R 2 r type specifi datetimezon data handl php_date_timezone_initialize_from_hash function b datetim data handl php_date_initialize_from_hash function,f,t
cve-2015-0209,2014-11-18,use-after-fre vulner d2i_ecprivatekey function crypto/ec/ec_asn1.c openssl 0.9.8zf 1 1.0r 1.1 1.1m 1.2 1.2a might allow remot attack caus denial servic memori corrupt applic crash possibl unspecifi impact via malform ellipt curv EC private-key file improperli handl import,f,f
