CVE-ID,MITRE Assign Date,ZDI Published Date,Severity Score,CVE Description,ZDI Description,OG Label,New Label,In ZDI
cve-2015-0245,2014-11-18,,0.0,d-bu 1.4.x 1.6.x 1.6.30 1.8.x 1.8.16 1.9.x 1.9.10 valid sourc activationfailur signal allow local user caus denial servic activ failur error return leverag race condit involv send activationfailur signal systemd respond,,f,f,f
cve-2015-0255,2014-11-18,,0.0,x.org server aka xserver xorg-serv 1.16.3 1.17.x 1.17.1 allow remot attack obtain sensit inform process memori caus denial servic crash via craft string length valu xkbsetgeometri request,,f,f,f
cve-2015-0267,2014-11-18,,0.0,the red hat module-setup.sh script kexec-tool distribut kexec-tool 2.0.7-19 packag red hat enterpris linux allow local user write arbitrari file via symlink attack temporari file,,f,f,f
cve-2015-0227,2014-11-18,,0.0,apach wss4j 1.6.17 2.x 2.0.2 allow remot attack bypass requiresignedencrypteddatael configur via vector relat `` wrap attack '',,f,f,f
cve-2015-0278,2014-11-18,,0.0,libuv 0.10.34 properli drop group privileg allow context-depend attack gain privileg via unspecifi vector,,f,f,f
cve-2015-0178,2014-11-18,,0.0,the java overlay featur ibm bluemix liberti 1.13-20150209-1122 java properli support war applic allow remot attack obtain sensit inform via unspecifi vector,,f,f,f
cve-2015-0012,2014-11-18,,0.0,microsoft system center virtual machin manag vmm 2012 R2 updat rollup 4 properli valid role user allow local user obtain server virtual-machin administr privileg establish server session activ directori credenti aka `` virtual machin manag elev privileg vulner '',,f,f,f
cve-2015-0251,2014-11-18,,0.0,the mod_dav_svn server subvers 1.5.0 1.7.19 1.8.0 1.8.11 allow remot authent user spoof svn author properti via craft v1 http protocol request sequenc,,f,f,f
cve-2015-0117,2014-11-18,2015-04-06,10.0,the ldap server ibm domino 8.5.x 8.5.3 fp6 if6 9.x 9.0.1 fp3 if1 allow remot attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector aka spr klyh9slrgm,thi vulner allow remot attack execut arbitrari code vulner instal ibm domino authent requir exploit vulner the specif flaw exist within ldap handl function listen default tcp port 389 the vulner code blindli copi attack suppli data special format ldap modifyrequest packet fix length stack buffer thi leverag remot attack execut arbitrari code context system user,f,f,t
cve-2015-0222,2014-11-18,,0.0,modelmultiplechoicefield django 1.6.x 1.6.10 1.7.x 1.7.3 show_hidden_initi set true allow remot attack caus denial servic submit duplic valu trigger larg number sql queri,,f,f,f
cve-2015-0219,2014-11-18,,0.0,django 1.4.18 1.6.x 1.6.10 1.7.x 1.7.3 allow remot attack spoof wsgi header use underscor charact instead dash charact http header demonstr x-auth_us header,,f,f,f
cve-2015-0282,2014-11-18,,0.0,gnutl 3.1 verifi rsa pkc 1 signatur algorithm match signatur algorithm certif allow remot attack conduct downgrad attack via unspecifi vector,,f,f,f
cve-2015-0199,2014-11-18,,0.0,the mmfslinux kernel modul ibm gener parallel file system gpf 3.4 3.4.0.32 3.5 3.5.0.24 4.1 4.1.7 allow local user caus denial servic memori corrupt via unspecifi character-devic ioctl call,,f,f,f
cve-2015-0261,2014-11-18,,0.0,integ signed error mobility_opt_print function ipv6 mobil printer tcpdump 4.7.2 allow remot attack caus denial servic out-of-bound read crash possibl execut arbitrari code via neg length valu,,f,f,f
cve-2015-0137,2014-11-18,,0.0,ibm powervc standard 1.2.0.x 1.2.0.4 1.2.1.x 1.2.2 valid hardwar manag consol hmc certif pre-login stage allow man-in-the-middl attack spoof devic via craft certif,,f,f,f
cve-2015-0274,2014-11-18,,0.0,the xf implement linux kernel 3.15 improperli use old size valu remot attribut replac allow local user caus denial servic transact overrun data corrupt possibl gain privileg leverag xf filesystem access,,f,f,f
cve-2015-0290,2014-11-18,,0.0,the multi-block featur ssl3_write_byt function s3_pkt.c openssl 1.2 1.2a 64-bit x86 platform ae NI support properli handl certain non-block i/o case allow remot attack caus denial servic pointer corrupt applic crash via unspecifi vector,,f,f,f
cve-2015-0207,2014-11-18,,0.0,the dtls1_listen function d1_lib.c openssl 1.2 1.2a properli isol state inform independ data stream allow remot attack caus denial servic applic crash via craft dtl traffic demonstr dtl 1 traffic dtl 1.2 server,,f,f,f
cve-2015-0293,2014-11-18,,0.0,the sslv2 implement openssl 0.9.8zf 1 1.0r 1.1 1.1m 1.2 1.2a allow remot attack caus denial servic s2_lib.c assert failur daemon exit via craft client-master-key messag,,f,f,f
cve-2015-0142,2014-11-18,,0.0,ibm openpag grc platform 6.2 if7 6.2.1 6.2.1.1 if5 7.0 fp4 7.1 fp1 allow remot authent user caus denial servic maintenance-mod transit data-storag outag call system administr mode function,,f,f,f
cve-2015-0250,2014-11-18,,0.0,xml extern entiti xxe vulner svg 1 png 2 jpg convers class apach batik 1.x 1.8 allow remot attack read arbitrari file caus denial servic via craft svg file,,f,f,f
cve-2015-0295,2014-11-18,,0.0,the bmp decod qtgui QT 5.5 properli calcul mask use extract color compon allow remot attack caus denial servic divide-by-zero crash via craft bmp file,,f,f,f
cve-2015-0279,2014-11-18,,0.0,jboss richfac 4.5.4 allow remot attack inject express languag EL express execut arbitrari java code via paramet,,f,f,f
cve-2015-0221,2014-11-18,,0.0,the django.views.static.serv view django 1.4.18 1.6.x 1.6.10 1.7.x 1.7.3 read file entir line time allow remot attack caus denial servic memori consumpt via long line file,,f,f,f
cve-2015-0134,2014-11-18,2015-04-06,10.0,buffer overflow sslv2 implement ibm domino 8.5.x 8.5.1 fp5 if3 8.5.2 fp4 if3 8.5.3 fp6 if6 9.0 if7 9.0.1 fp2 if3 allow remot attack execut arbitrari code via unspecifi vector,thi vulner allow remot attack execut arbitrari code vulner instal ibm lotu domino authent requir exploit vulnerability.th flaw exist within nldap.ex compon listen default tcp port 636 when handl client master key messag packet process blindli copi attack suppli data unders buffer A remot attack could exploit vulner execut arbitrari code context system user,f,f,t
cve-2015-0136,2014-11-18,,0.0,powervc-iso-import ibm powervc 1.2.0.x 1.2.0.4 1.2.1.x 1.2.2 place access token command line ivm powerkvm manag allow local user obtain sensit inform list process,,f,f,f
cve-2015-0209,2014-11-18,,0.0,use-after-fre vulner d2i_ecprivatekey function crypto/ec/ec_asn1.c openssl 0.9.8zf 1 1.0r 1.1 1.1m 1.2 1.2a might allow remot attack caus denial servic memori corrupt applic crash possibl unspecifi impact via malform ellipt curv EC private-key file improperli handl import,,f,f,f
cve-2015-0285,2014-11-18,,0.0,the ssl3_client_hello function s3_clnt.c openssl 1.2 1.2a ensur prng seed proceed handshak make easier remot attack defeat cryptograph protect mechan snif network conduct brute-forc attack,,f,f,f
cve-2015-0291,2014-11-18,,0.0,the sigalg implement t1_lib.c openssl 1.2 1.2a allow remot attack caus denial servic null pointer derefer daemon crash use invalid signature_algorithm extens clienthello messag renegoti,,f,f,f
cve-2015-0206,2014-11-18,,0.0,memori leak dtls1_buffer_record function d1_pkt.c openssl 1 1.0p 1.1 1.1k allow remot attack caus denial servic memori consumpt send mani duplic record next epoch lead failur replay detect,,f,f,f
cve-2015-0205,2014-11-18,,0.0,the ssl3_get_cert_verifi function s3_srvr.c openssl 1 1.0p 1.1 1.1k accept client authent diffie-hellman DH certif without requir certificateverifi messag allow remot attack obtain access without knowledg privat key via craft tl handshak protocol traffic server recogn certif author DH support,,f,f,f
cve-2015-0204,2014-11-18,,0.0,the ssl3_get_key_exchang function s3_clnt.c openssl 0.9.8zd 1 1.0p 1.1 1.1k allow remot ssl server conduct rsa-to-export_rsa downgrad attack facilit brute-forc decrypt offer weak ephemer rsa key noncompli role relat `` freak '' issu note scope cve client code base openssl export_rsa issu associ server tl implement,,f,f,f
cve-2015-0201,2014-11-18,,0.0,the java sockj client pivot spring framework 4.1.x 4.1.5 gener predict session id allow remot attack send messag session via unspecifi vector,,f,f,f
cve-2015-0271,2014-11-18,,0.0,the log-view function red hat redhat-access-plugin 6.0.3 openstack dashboard horizon allow remot attack read arbitrari file via craft path,,f,f,f
cve-2015-0259,2014-11-18,,0.0,openstack comput nova 2014.1.4 2014.2.x 2014.2.3 kilo kilo-3 valid origin websocket request allow remot attack hijack authent user access consol via craft webpag,,f,f,f
cve-2015-0254,2014-11-18,,0.0,apach standard taglib 1.2.3 allow remot attack execut arbitrari code conduct extern xml entiti xxe attack via craft xslt extens 1 x pars 2 x transform jstl xml tag,,f,f,f
cve-2015-0225,2014-11-18,,0.0,the default configur apach cassandra 1.2.0 1.2.19 2.0 2.0.13 2.1 2.1.3 bind unauthent jmx/rmi interfac network interfac allow remot attack execut arbitrari java code via rmi request,,f,f,f
cve-2015-0132,2014-11-18,,0.0,the xml parser ibm ration door next gener 4.x 4.0.7 ifix3 5.x 5.0.2 ration requir compos 2.x 3.x 3.0.1.6 ifix5 4.x 4.0.7 ifix3 properli detect recurs entiti expans allow remot attack caus denial servic memori consumpt via craft xml document contain larg number nest entiti refer similar issu cve-2003-1564,,f,f,f
cve-2015-0146,2014-11-18,,0.0,ibm content collector email 3.0 3.0.6-ibm-icc-server-if001 4.0 4.0.3-ibm-icc-server-if001 properli handl unspecifi queri oper search ibm filenet P8 system ibm content search servic allow local user bypass intend document-access restrict obtain sensit inform via craft search queri,,f,f,f
cve-2015-0141,2014-11-18,,0.0,ibm openpag grc platform 6.2 if7 6.2.1 6.2.1.1 if5 7.0 fp4 7.1 fp1 allow remot authent user modifi arbitrari user filter via json request,,f,f,f
cve-2015-0527,2014-12-17,,0.0,emc documentum xceler manag system xm 1.1 p14 store cleartext window servic credenti batch file documentum platform xceler composit platform xcp provis allow local user obtain sensit inform read file,,f,f,f
cve-2015-0532,2014-12-17,,0.0,emc rsa ident manag govern img 6.9 p04 6.9.1 p01 properli restrict password reset allow remot attack obtain access via craft use reset process arbitrari valid account name demonstr privileg account,,f,f,f
cve-2015-0518,2014-12-17,,0.0,the properti servic d2f web-servic compon emc documentum D2 3.1 sp1 4.0 4.1 4.1 p22 4.2 p11 allow remot authent user obtain superus privileg via unspecifi method call modifi group permiss,,f,f,f
cve-2015-0517,2014-12-17,,0.0,the d2-api compon emc documentum D2 3.1 sp1 4.0 4.1 4.1 p22 4.2 p11 place md5 hash encrypt passphras log file allow remot authent user obtain sensit inform read file,,f,f,f
cve-2015-0538,2014-12-17,2015-05-07,10.0,ftagent.ex emc autostart 5.4.x 5.5.x 5.5.0.508 hf4 allow remot attack execut arbitrari command via craft packet,thi vulner allow remot attack execut arbitrari code vulner instal emc autostart authent requir exploit vulner easili bypassed.th specif flaw exist within ftagent.ex listen tcp port 8045 handl numer opcod the vulner caus lack input valid use remot suppli string construct sql queri By send craft request vulner system remot attack exploit vulner execut arbitrari code context system,f,f,t
cve-2015-0510,2014-12-17,,0.0,unspecifi vulner oracl commerc platform compon oracl commerc platform 9.4 10.0 10.2 allow remot attack affect integr via vector relat dynamo applic framework html admin user interfac,,f,f,f
cve-2015-0529,2014-12-17,,0.0,emc powerpath virtual applianc aka vapp 2.0 default password 1 emcupd 2 svcuser account make easier remot attack obtain potenti sensit inform via login session,,f,f,f
cve-2015-0523,2014-12-17,,0.0,emc rsa certif manag rcm 6.9 build 558 rsa registr manag rrm 6.9 build 558 allow remot attack caus administr server denial servic via invalid mime e-mail messag multipart/ content-typ header,,f,f,f
cve-2015-0528,2014-12-17,,0.0,the rpc daemon emc isilon onef 6.5.x 7.0.x 7.0.2.13 7.1 7.1.6 7.1.1 7.1.1.2 7.2.0 7.2.0.1 allow local user gain privileg leverag abil modifi system file,,f,f,f
cve-2015-0489,2014-12-17,,0.0,unspecifi vulner applic manag pack oracl e-busi suit compon oracl e-busi suit amp 121030 121020 allow local user affect confidenti via vector relat eb plugin,,f,f,f
cve-2015-0451,2014-12-17,,0.0,unspecifi vulner oracl opensso compon oracl fusion middlewar 3.0-04 allow remot authent user affect confidenti via vector relat opensso web agent,,f,f,f
cve-2015-0361,2014-12-17,,0.0,use-after-fre vulner xen 4.2.x 4.3.x 4.4.x allow remot domain caus denial servic system crash via craft hypercal hvm guest teardown,,f,f,f
cve-2015-0546,2014-12-17,,0.0,emc unifi infrastructur manager/provis uim/p 4.1 allow remot attack bypass ldap authent provid valid account name,,f,f,f
cve-2015-0550,2014-12-17,,0.0,directori travers vulner emc documentum thumbnail server 6.7sp1 p32 6.7sp2 p25 7.0 p19 7.1 p16 7.2 p01 allow remot attack bypass intend content server access restrict via unspecifi vector,,f,f,f
cve-2015-0424,2014-12-17,,0.0,unspecifi vulner integr light out manag ilom compon oracl sun system product suit ilom prior 3.2.4 allow remot authent user affect confidenti integr avail via vector relat ipmi,,f,f,f
cve-2015-0414,2014-12-17,,0.0,unspecifi vulner oracl soa suit compon oracl fusion middlewar 11.1.1.7 12.1.3.0 allow remot authent user affect confidenti via unknown vector relat fabric layer,,f,f,f
cve-2015-0398,2014-12-17,,0.0,unspecifi vulner siebel life scienc compon oracl siebel crm 8.1.1 8.2.2 allow remot authent user affect confidenti via unknown vector relat clinic trip report,,f,f,f
cve-2015-0389,2014-12-17,,0.0,unspecifi vulner oracl opensso compon oracl fusion middlewar 8.0 updat 2 patch 5 allow remot authent user affect integr via vector relat saml differ vulner cve-2014-6592,,f,f,f
cve-2015-0384,2014-12-17,,0.0,unspecifi vulner siebel public sector compon oracl siebel crm 8.1.1 8.2.2 allow remot authent user affect integr via unknown vector relat public sector portal,,f,f,f
cve-2015-0541,2014-12-17,,0.0,cross-sit request forgeri csrf vulner emc rsa web threat detect 5.1 allow remot attack hijack authent arbitrari user,,f,f,f
cve-2015-0386,2014-12-17,,0.0,unspecifi vulner oracl http server compon oracl fusion middlewar 11.1.1.7.0 12.1.2.0 12.1.3.0 allow remot attack affect avail via unknown vector relat web listen differ vulner cve-2013-0338 cve-2013-2877 cve-2014-0191,,f,f,f
cve-2015-0544,2014-12-17,,0.0,emc secur remot servic virtual edit esr VE 3.x 3.06 properli gener random valu session cooki make easier remot attack hijack session predict valu,,f,f,f
cve-2015-0397,2014-12-17,,0.0,unspecifi vulner oracl sun solari 11 allow local user affect avail via unknown vector relat file system differ vulner cve-2014-6570 cve-2014-6600,,f,f,f
cve-2015-0515,2014-12-17,,0.0,unrestrict file upload vulner emc M R aka watch4net 6.5u1 vipr srm 3.6.1 allow remot authent user execut arbitrari code upload access execut file,,f,f,f
cve-2015-0535,2014-12-17,,0.0,emc rsa bsafe micro edit suit me 4.0.x 4.0.8 4.1.x 4.1.3 rsa bsafe ssl-c 2.8.9 earlier properli restrict tl state transit make easier remot attack conduct cipher-downgrad attack export_rsa cipher via craft tl traffic relat `` freak '' issu similar issu cve-2015-0204,,f,f,f
cve-2015-0542,2014-12-17,,0.0,multipl cross-sit request forgeri csrf vulner emc rsa archer grc 5.5 sp1 P3 allow remot attack hijack authent arbitrari user,,f,f,f
cve-2015-0393,2014-12-17,,0.0,unspecifi vulner oracl applic dba compon oracl e-busi suit 11.5.10.2 12.0.6 12.1.3 12.2.2 12.2.3 12.2.4 allow remot authent user affect confidenti integr avail via unknown vector relat DB privileg note previou inform januari 2015 cpu oracl comment research 's claim public role grant index privileg dual tabl `` seed instal '' allow remot authent user gain sysdba privileg execut arbitrari code,,f,f,f
cve-2015-0380,2014-12-17,,0.0,unspecifi vulner oracl telecommun bill integr compon oracl e-busi suit 11.5.10.2 12.0.4 12.0.5 12.0.6 12.1.1 12.1.2 12.1.3 12.2.2 12.2.3 12.2.4 allow remot attack affect integr via unknown vector relat OA base UI bill summari,,f,f,f
cve-2015-0552,2015-01-05,,0.0,directori travers vulner gcab_folder_extract function libgcab/gcab-folder.c gcab 0.4 allow remot attack write arbitrari file via craft path cab file demonstr `` \tmp\moo '',,f,f,f
cve-2015-0557,2015-01-05,,0.0,open-sourc arj archiv 3.10.22 properli remov lead slash path allow remot attack conduct absolut path travers attack write arbitrari file via multipl lead slash path arj archiv,,f,f,f
cve-2015-0564,2015-01-06,,0.0,buffer underflow ssl_decrypt_record function epan/dissectors/packet-ssl-utils.c wireshark 1.10.x 1.10.12 1.12.x 1.12.3 allow remot attack caus denial servic applic crash via craft packet improperli handl decrypt ssl session,,f,f,f
cve-2015-0561,2015-01-06,,0.0,asn1/lpp/lpp.cnf lpp dissector wireshark 1.10.x 1.10.12 1.12.x 1.12.3 valid certain index valu allow remot attack caus denial servic out-of-bound memori access applic crash via craft packet,,f,f,f
cve-2015-0778,2015-01-07,,0.0,osc 0.151.0 allow remot attack execut arbitrari command via shell metacharact _servic file,,f,f,f
cve-2015-0818,2015-01-07,2015-04-03,7.5,mozilla firefox 36.0.4 firefox esr 31.x 31.5.3 seamonkey 2.33.1 allow remot attack bypass same origin polici execut arbitrari javascript code chrome privileg via vector involv svg hash navig,thi vulner allow remot attack bypass same-origin polici vulner instal mozilla firefox user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl svg format content navig By use domattrmodifi mutat event listen attack inject arbitrari url histori caus firefox break same-origin isol polici,f,f,t
cve-2015-0863,2015-01-07,,0.0,galaxi app aka samsung app samsung updat com.sec.android.app.samsungapp 14120405.03.012 allow man-in-the-middl attack obtain sensit inform execut arbitrari code,,f,f,f
cve-2015-0687,2015-01-07,,0.0,the snmp implement cisco io 15.1 2 sg4 catalyst 4500 devic single-switch virtual switch system vss configur allow remot authent user caus denial servic devic crash perform snmp poll aka bug ID cscuq04574,,f,f,f
cve-2015-0817,2015-01-07,2015-04-03,6.8,the asm.j implement mozilla firefox 36.0.3 firefox esr 31.x 31.5.2 seamonkey 2.33.1 properli determin case bound check may safe skip jit compil heap access allow remot attack read write unintend memori locat consequ execut arbitrari code via craft javascript,thi vulner allow remot attack execut arbitrari code vulner instal mozilla firefox user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl heap access bound check A special craft type array elimin bound check heap access An attack leverag vulner execut code context current process,f,f,t
cve-2015-0777,2015-01-07,,0.0,drivers/xen/usbback/usbback.c linux-2.6.18-xen-3.4.0 aka xen 3.4.x support patch linux kernel 2.6.18 use linux kernel 2.6.x 3.x suse linux distribut allow guest OS user obtain sensit inform uniniti locat host OS kernel memori via unspecifi vector,,f,f,f
cve-2015-0582,2015-01-07,,0.0,the high avail HA subsystem cisco nx-o md 9000 devic allow remot attack caus denial servic via craft traffic aka bug ID cscuo09129,,f,f,f
cve-2015-0807,2015-01-07,,0.0,the navigator.sendbeacon implement mozilla firefox 37.0 firefox esr 31.x 31.6 thunderbird 31.6 process http 30x statu code redirect preflight request occur allow remot attack bypass intend cor access-control check conduct cross-sit request forgeri csrf attack via craft web site similar issu cve-2014-8638,,f,f,f
cve-2015-0855,2015-01-07,,0.0,the _medialibraryplaycb function mainwindow.pi pitivi 0.95 allow attack execut arbitrari code via shell metacharact file path,,f,f,f
cve-2015-0864,2015-01-07,,0.0,samsung account aka com.osp.app.signin 1.6.0069 2.x 2.1.0069 allow man-in-the-middl attack obtain sensit inform execut arbitrari code,,f,f,f
cve-2015-0682,2015-01-07,,0.0,cisco unifi commun domain manag 8.1 4 allow remot authent user execut arbitrari code visit `` deprec page '' aka bug ID cscup90168,,f,f,f
cve-2015-0812,2015-01-07,,0.0,mozilla firefox 37.0 requir http session lightweight theme add-on instal allow man-in-the-middl attack bypass intend user-confirm requir deploy craft web site conduct dn spoof attack mozilla.org subdomain,,f,f,f
cve-2015-0838,2015-01-07,,0.0,buffer overflow C implement apply_delta function _pack.c dulwich 0.9.9 allow remot attack execut arbitrari code via craft pack file,,f,f,f
cve-2015-0640,2015-01-07,,0.0,the high-spe log hsl featur cisco io XE 2.x 3.x 3.10.4 3.11 3.11.3 3.12 3.12.1 3.13 3.13.0 3.14 3.14.0 3.15 3.15.0 allow remot attack caus denial servic devic reload via larg IP packet requir nat hsl process fragment aka bug ID cscuo25741,,f,f,f
cve-2015-0673,2015-01-07,,0.0,cisco mobil servic engin mse 8.0 110.0 allow remot authent user discov password arbitrari user 1 read log file 2 use unspecifi gui featur aka bug ID cscut24792,,f,f,f
cve-2015-0794,2015-01-07,,0.0,modules.d/90crypt/module-setup.sh dracut packag 037-17.30.1 opensus 13.2 allow local user unspecifi impact via symlink attack /tmp/dracut_block_uuid.map,,f,f,f
cve-2015-0857,2015-01-07,,0.0,cool project tardiff allow remot attack execut arbitrari command via shell metacharact name 1 tar file 2 file within tar file,,f,f,f
cve-2015-0810,2015-01-07,,0.0,mozilla firefox 37.0 OS X ensur cursor visibl allow remot attack conduct clickjack attack via flash object conjunct div element associ layer present craft javascript code interact img element,,f,f,f
cve-2015-0800,2015-01-07,,0.0,the prng implement dn resolv mozilla firefox aka fennec 37.0 android properli gener random number queri ID valu udp sourc port make easier remot attack spoof dn respons guess number relat issu cve-2012-2808,,f,f,f
cve-2015-0861,2015-01-07,,0.0,model/modelstorage.pi trytond 3.2.x 3.2.10 3.4.x 3.4.8 3.6.x 3.6.5 3.8.x 3.8.1 allow remot authent user bypass intend access restrict write arbitrari field via sequenc record,,f,f,f
cve-2015-0718,2015-01-07,,0.0,cisco nx-o 4.0 6.1 nexu 1000v 3000 4000 5000 6000 7000 devic unifi comput system uc platform allow remot attack caus denial servic tcp stack reload send craft tcp packet devic time_wait tcp session aka bug ID cscub70579,,f,f,f
cve-2015-0590,2015-01-07,,0.0,cisco webex meet center allow remot attack activ disabl meet attribut consequ obtain sensit inform provid craft paramet meeting-join action aka bug ID cscuo34165,,f,f,f
cve-2015-0859,2015-01-07,,0.0,the debian build procedur smokep packag wheezi 2.6.8-2+deb7u1 jessi 2.6.9-1+deb8u1 properli configur way apach httpd pass argument smokeping_cgi allow remot attack execut arbitrari code via craft cgi argument,,f,f,f
cve-2015-0860,2015-01-07,,0.0,off-by-on error extracthalf function dpkg-deb/extract.c dpkg-deb compon debian dpkg 1.16.x 1.16.17 1.17.x 1.17.26 allow remot attack execut arbitrari code via archiv magic version number `` old-styl '' debian binari packag trigger stack-bas buffer overflow,,f,f,f
cve-2015-0856,2015-01-07,,0.0,daemon/greeter.cpp sddm 0.13.0 properli disabl kde crash handler allow local user gain privileg crash greeter use certain theme demonstr plasma-workspac breez theme,,f,f,f
cve-2015-0858,2015-01-07,,0.0,cool project tardiff allow local user write arbitrari file via symlink attack pathnam /tmp/tardiff- temporari directori,,f,f,f
cve-2015-0678,2015-01-07,,0.0,the virtual layer cisco asa firepow softwar 5.3.1.2 5.4.x 5.4.0.1 asa context-awar CX softwar 9.3.2.1-9 allow remot attack caus denial servic devic reload rapidli send craft packet manag interfac aka bug id cscus11007 cscun56954,,f,f,f
cve-2015-0845,2015-01-07,,0.0,format string vulner movabl type pro open sourc advanc 5.2.13 pro advanc 6.0.x 6.0.8 allow remot attack execut arbitrari code via vector relat local templat,,f,f,f
