CVE-ID,MITRE Assign Date,Patch Date,Exploit Date,ZDI Published Date,CVE Description,ZDI Description,Severity Score,In ZDI,Zero Day Exploit,CWE ID,Num of CPE,Num of Refs,Refs,New CWE ID
cve-2015-1787,2015-02-17,2018-11-29 00:00:00,,,the ssl3_get_client_key_exchang function s3_srvr.c openssl 1.2 1.2a client authent ephemer diffie-hellman ciphersuit enabl allow remot attack caus denial servic daemon crash via clientkeyexchang messag length zero,,0.0,False,False,CWE-20,4,16,CONFIRM CONFIRM CONFIRM SECTRACK CONFIRM CONFIRM CONFIRM CONFIRM HP HP HP CONFIRM BID GENTOO CONFIRM ,5
cve-2015-1874,2015-02-17,2015-03-10 00:00:00,,,cross-sit request forgeri csrf vulner contact form DB aka cfdb contact-form-7-to-database-extens plugin 2.8.32 wordpress allow remot attack hijack authent administr request delet plugin record via request cf7dbpluginsubmiss page wp-admin/admin.php,,0.0,False,False,CWE-352,1,5,BID ,14
cve-2015-2334,2015-03-18,2015-03-18 00:00:00,,,cross-sit request forgeri csrf vulner admin control panel acp login mybb aka mybulletinboard 1.8.4 allow remot attack hijack authent unspecifi victim via unknown vector,,0.0,False,False,CWE-352,1,3,,14
cve-2015-2352,2015-03-19,2015-03-20 00:00:00,,,the cach handler mybb aka mybulletinboard 1.8.4 properli check encod input var_export function allow attack unspecifi impact via unknown vector,,0.0,False,False,NVD-CWE-noinfo,1,3,,30
cve-2015-2418,2015-03-19,2015-07-21 00:00:00,,,race condit microsoft malici softwar remov tool msrt 5.26 allow local user gain privileg via craft dll aka `` msrt race condit vulner '',,0.0,False,False,CWE-362,1,3,,15
cve-2015-2534,2015-03-19,2019-05-14 00:00:00,,,hyper-v microsoft window 8.1 window server 2012 R2 window 10 improperli process acl set allow local user bypass intend network-traff restrict via craft applic aka `` hyper-v secur featur bypass vulner '',,0.0,False,False,CWE-284,3,2,SECTRACK ,11
cve-2015-2420,2015-03-19,2018-11-20 00:00:00,,,cross-sit script xss vulner microsoft system center 2012 oper manag gold rollup 8 sp1 rollup 10 R2 rollup 7 allow remot attack inject arbitrari web script html via craft url aka `` system center oper manag web consol xss vulner '',,0.0,False,False,CWE-79,22,2,SECTRACK ,26
cve-2015-2552,2015-03-19,2019-05-15 00:00:00,,,the kernel microsoft window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow physic proxim attack bypass trust boot protect mechan consequ interfer integr code bitlock devic encrypt devic health attest via craft boot configur data bcd set aka `` trust boot secur featur bypass vulner '',,0.0,False,False,CWE-254,12,4,SECTRACK BUGTRAQ ,8
cve-2015-2529,2015-03-19,2019-05-14 00:00:00,,,the kernel microsoft window 8.1 window server 2012 R2 window RT 8.1 window 10 allow local user bypass aslr protect mechan via craft applic aka `` kernel aslr bypass vulner '',,0.0,False,False,CWE-254,4,3,BID SECTRACK ,8
cve-2015-2423,2015-03-19,2019-05-15 00:00:00,,,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 excel 2007 sp3 powerpoint 2007 sp3 visio 2007 sp3 word 2007 sp3 offic 2010 sp2 excel 2010 sp2 powerpoint 2010 sp2 visio 2010 sp2 word 2010 sp2 excel 2013 sp1 powerpoint 2013 sp1 visio 2013 sp1 word 2013 sp1 excel 2013 RT sp1 powerpoint 2013 RT sp1 visio 2013 RT sp1 word 2013 RT sp1 internet explor 7 11 allow remot attack gain privileg obtain sensit inform via craft command-lin paramet offic applic notepad demonstr transit low integr medium integr aka `` unsaf command line paramet pass vulner '',,0.0,False,False,CWE-200,36,6,SECTRACK SECTRACK SECTRACK ,6
cve-2015-2435,2015-03-19,2019-05-15 00:00:00,,2015-08-11,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 offic 2007 sp3 2010 sp2 live meet 2007 consol lync 2010 lync 2010 attende lync 2013 sp1 lync basic 2013 sp1 silverlight 5.1.40728 allow remot attack execut arbitrari code via craft truetyp font aka `` truetyp font pars vulner '',thi vulner allow remot attack execut arbitrari code vulner instal microsoft window user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within process truetyp font A glyph craft caus buffer overflow win32k vcopycleartypebit window kernel allow read write access kernel memori thi leverag attack run arbitrari code context system,10.0,True,False,CWE-20,37,4,BID MISC SECTRACK ,5
cve-2015-2428,2015-03-19,2019-05-15 00:00:00,,,object manag microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 properli constrain imperson level interact object symbol link origin sandbox process allow local user gain privileg via craft applic aka `` window object manag elev privileg vulner '',,0.0,False,False,CWE-264,11,2,SECTRACK ,9
cve-2015-2472,2015-03-19,2019-05-15 00:00:00,,,remot desktop session host rdsh remot desktop protocol rdp 8.1 microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 properli verifi certif allow man-in-the-middl attack spoof client via craft certif valid issuer serial number field aka `` remot desktop session host spoof vulner '',,0.0,False,False,CWE-20,12,2,SECTRACK ,5
cve-2015-2476,2015-03-19,2019-05-17 00:00:00,,,the webdav client microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 support ssl 2.0 make easier remot attack defeat cryptograph protect mechan snif network conduct decrypt attack aka `` webdav client inform disclosur vulner '',,0.0,False,False,CWE-310,10,2,SECTRACK ,13
cve-2015-2360,2015-03-19,2019-05-14 00:00:00,,,win32k.si kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg caus denial servic memori corrupt via craft applic aka `` win32k elev privileg vulner '',,0.0,False,False,CWE-119,13,3,BID SECTRACK ,0
cve-2015-2519,2015-03-19,2019-05-14 00:00:00,,,integ overflow window journal microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft .jnt file aka `` window journal integ overflow rce vulner '',,0.0,False,False,CWE-190,11,2,SECTRACK ,4
cve-2015-2430,2015-03-19,2019-05-15 00:00:00,,2015-08-11,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow attack bypass applic sandbox protect mechan perform unspecifi filesystem action via craft applic aka `` window filesystem elev privileg vulner '',thi vulner allow attack escal privileg vulner instal microsoft internet explor user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl junction point favorit folder link folder An attack run code context low-right internet explor process set junction point favorit folder IE broker process chang access control right target folder normal unmodifi low-right process An attack leverag vulner execut code context medium integr process,6.9,True,False,CWE-264,11,4,BID MISC SECTRACK ,9
cve-2015-2516,2015-03-19,2019-05-14 00:00:00,,,window journal microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack caus denial servic data loss via craft .jnt file aka `` window journal do vulner '',,0.0,False,False,CWE-20,11,2,SECTRACK ,5
cve-2015-2506,2015-03-19,2019-05-14 00:00:00,,,atmfd.dll adob type manag librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack caus denial servic system crash via craft opentyp font aka `` opentyp font pars vulner '',,0.0,False,False,CWE-20,12,3,BID SECTRACK ,5
cve-2015-2433,2015-03-19,2019-05-15 00:00:00,,,the kernel microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user bypass aslr protect mechan via craft applic aka `` kernel aslr bypass vulner '',,0.0,False,False,CWE-200,12,4,BID SECTRACK ,6
cve-2015-2546,2015-03-19,2019-05-14 00:00:00,,,the kernel-mod driver microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow local user gain privileg via craft applic aka `` win32k memori corrupt elev privileg vulner '' differ vulner cve-2015-2511 cve-2015-2517 cve-2015-2518,,0.0,False,False,CWE-119,12,3,BID SECTRACK ,0
cve-2015-2530,2015-03-19,2019-05-14 00:00:00,,,window journal microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft .jnt file aka `` window journal rce vulner '' differ vulner cve-2015-2513 cve-2015-2514,,0.0,False,False,CWE-20,11,2,SECTRACK ,5
cve-2015-2429,2015-03-19,2019-05-15 00:00:00,,2015-10-07,microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow attack bypass applic sandbox protect mechan perform unspecifi registri action via craft applic aka `` window registri elev privileg vulner '',thi vulner allow attack execut arbitrari code vulner instal microsoft internet explor user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within cieregistryhelp :setsinglevalu api when api use whitelist registri entri attack modifi privileg registri valu via registri link An attack leverag vulner execut code context user medium integr,4.4,True,False,CWE-264,11,5,MISC MISC MISC SECTRACK ,9
cve-2015-2514,2015-03-19,2019-05-15 00:00:00,,,window journal microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft .jnt file aka `` window journal rce vulner '' differ vulner cve-2015-2513 cve-2015-2530,,0.0,False,False,CWE-20,11,2,SECTRACK ,5
cve-2015-2513,2015-03-19,2019-05-15 00:00:00,,,window journal microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 allow remot attack execut arbitrari code via craft .jnt file aka `` window journal rce vulner '' differ vulner cve-2015-2514 cve-2015-2530,,0.0,False,False,CWE-20,11,2,SECTRACK ,5
cve-2015-2806,2015-03-30,2016-08-25 00:00:00,,,stack-bas buffer overflow asn1_der_decod libtasn1 4.4 allow remot attack unspecifi impact via unknown vector,,0.0,False,False,CWE-119,9,17,MLIST UBUNTU MLIST DEBIAN SECTRACK FEDORA FEDORA FEDORA FEDORA FEDORA FEDORA ,0
cve-2015-2823,2015-04-01,2015-04-09 00:00:00,,,siemen simat hmi basic panel 2nd gener wincc tia portal 13 sp1 upd2 simat hmi comfort panel wincc tia portal 13 sp1 upd2 simat wincc runtim advanc wincc tia portal 13 sp1 upd2 simat wincc runtim profession wincc tia portal 13 sp1 upd2 simat hmi basic panel 1st gener wincc tia portal simat hmi mobil panel 277 wincc tia portal simat hmi multi panel wincc tia portal simat wincc 7.x 7.3 upd4 allow remot attack complet authent leverag knowledg password hash without knowledg associ password,,0.0,False,False,CWE-287,11,3,,12
cve-2015-3072,2015-04-09,2015-05-14 00:00:00,,2015-05-12,adob reader acrobat 10.x 10.1.14 11.x 11.0.11 window OS X allow attack bypass intend restrict javascript api execut via unspecifi vector differ vulner cve-2015-3060 cve-2015-3061 cve-2015-3062 cve-2015-3063 cve-2015-3064 cve-2015-3065 cve-2015-3066 cve-2015-3067 cve-2015-3068 cve-2015-3069 cve-2015-3071 cve-2015-3073 cve-2015-3074,thi vulner allow remot attack bypass api restrict vulner instal adob reader user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within adbcannotenumer By creat special craft pdf specif javascript instruct possibl bypass javascript api restrict A remot attack could exploit vulner execut arbitrari code,6.8,True,False,CWE-284,54,4,MISC SECTRACK BID ,11
cve-2015-3060,2015-04-09,2015-05-14 00:00:00,,2015-05-12,adob reader acrobat 10.x 10.1.14 11.x 11.0.11 window OS X allow attack bypass intend restrict javascript api execut via unspecifi vector differ vulner cve-2015-3061 cve-2015-3062 cve-2015-3063 cve-2015-3064 cve-2015-3065 cve-2015-3066 cve-2015-3067 cve-2015-3068 cve-2015-3069 cve-2015-3071 cve-2015-3072 cve-2015-3073 cve-2015-3074,thi vulner allow remot attack bypass api restrict vulner instal adob reader user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within indexofnextessenti method By creat special craft pdf specif javascript instruct possibl bypass javascript api restrict A remot attack could exploit vulner execut arbitrari code,6.8,True,False,CWE-284,54,4,MISC SECTRACK BID ,11
cve-2015-3446,2015-04-28,2015-05-04 00:00:00,,2015-04-29,the framework daemon alienvault unifi secur manag 4.15 allow remot attack execut arbitrari python code via craft plugin configur file .cfg,thi vulner allow remot attack execut arbitrari code vulner instal alienvault unifi secur manag authent requir exploit vulnerability.th specif flaw exist within alienvault framework daemon permit remot unauthent chang .cfg file A special craft plugin configur file specifi custom function contain arbitrari python code An attack exploit condit achiev code execut context root user,9.3,True,False,CWE-94,1,3,,28
cve-2015-4016,2015-05-18,2015-05-21 00:00:00,,2015-05-19,the client detect protocol valv steam allow remot attack caus denial servic process crash via craft respons broadcast packet,thi vulner allow remot attack execut denial servic attack vulner instal valv steam authent requir exploit vulner the specif flaw exist within steam client detect protocol By respond broadcast packet craft respons attack caus steam process crash,5.0,True,False,CWE-20,1,3,MISC BID ,5
cve-2015-4065,2015-05-22,2015-05-28 00:00:00,,,cross-sit script xss vulner shared/shortcodes/inbound-shortcodes.php land page plugin 1.8.5 wordpress allow remot authent user inject arbitrari web script html via post paramet wp-admin/post-new.php,,0.0,False,False,CWE-79,1,4,,26
cve-2015-4063,2015-05-22,2015-05-28 00:00:00,,,cross-sit script xss vulner includes/nsp_search.php newstatpress plugin 0.9.9 wordpress allow remot authent user inject arbitrari web script html via where1 paramet nsp_search page wp-admin/admin.php,,0.0,False,False,CWE-79,1,4,,26
cve-2015-4021,2015-05-18,2015-06-10 00:00:00,,,the phar_parse_tarfil function ext/phar/tar.c php 5.4.41 5.5.x 5.5.25 5.6.x 5.6.9 verifi first charact filenam differ \0 charact allow remot attack caus denial servic integ underflow memori corrupt via craft entri tar archiv,,0.0,False,False,CWE-189,61,18,,2
cve-2015-4108,2015-05-28,2015-06-11 00:00:00,,,multipl cross-sit request forgeri csrf vulner wing ftp server 4.4.7 allow remot attack hijack authent administr request 1 execut arbitrari code via craft request admin_lua_script.html 2 add domain administr via craft request admin_addadmin.html,,0.0,False,False,CWE-352,1,6,,14
cve-2015-4781,2015-06-24,2015-07-16 00:00:00,,,unspecifi vulner data store compon oracl berkeley DB 11.2.5.1.29 11.2.5.2.42 11.2.5.3.28 12.1.6.0.35 allow local user affect confidenti integr avail via unknown vector differ vulner cve-2015-2583 cve-2015-2624 cve-2015-2626 cve-2015-2640 cve-2015-2654 cve-2015-2656 cve-2015-4754 cve-2015-4764 cve-2015-4775 cve-2015-4776 cve-2015-4777 cve-2015-4778 cve-2015-4780 cve-2015-4782 cve-2015-4783 cve-2015-4784 cve-2015-4785 cve-2015-4786 cve-2015-4787 cve-2015-4789 cve-2015-4790,,0.0,False,False,NVD-CWE-noinfo,4,1,,30
cve-2015-5477,2015-07-10,2015-07-29 00:00:00,2015-08-01 00:00:00,,name isc bind 9.x 9.9.7-p2 9.10.x 9.10.2-p3 allow remot attack caus denial servic requir assert failur daemon exit via tkey queri,,0.0,False,False,CWE-19,2,42,,3
cve-2015-6247,2015-08-14,2015-08-25 00:00:00,,,the dissect_openflow_tablemod_v5 function epan/dissectors/packet-openflow_v5.c openflow dissector wireshark 1.12.x 1.12.7 valid certain offset valu allow remot attack caus denial servic infinit loop via craft packet,,0.0,False,False,CWE-20,8,9,CONFIRM CONFIRM ,5
cve-2015-6246,2015-08-14,2016-10-18 00:00:00,,,the dissect_wa_payload function epan/dissectors/packet-waveagent.c waveag dissector wireshark 1.12.x 1.12.7 mishandl larg tag valu allow remot attack caus denial servic applic crash via craft packet,,0.0,False,False,CWE-20,9,11,CONFIRM CONFIRM CONFIRM ,5
cve-2015-6238,2015-08-14,2015-09-23 00:00:00,,,multipl cross-sit script xss vulner googl analyt plugin 6.4.9.6 wordpress allow remot attack inject arbitrari web script html via 1 ga_adsens 2 ga_admin_disable_dimentionindex 3 ga_downloads_prefix 4 ga_download 5 ga_outbound_prefix paramet google-analyt page wp-admin/admin.php,,0.0,False,False,CWE-79,1,3,,26
cve-2015-6248,2015-08-14,2016-10-18 00:00:00,,,the ptvcursor_add function ptvcursor implement epan/proto.c wireshark 1.12.x 1.12.7 check whether expect amount data avail allow remot attack caus denial servic applic crash via craft packet,,0.0,False,False,CWE-20,9,12,CONFIRM CONFIRM CONFIRM ,5
cve-2015-6152,2015-08-14,2020-06-17 00:00:00,,,microsoft internet explor 10 allow remot attack execut arbitrari code caus denial servic memori corrupt via craft web site aka `` internet explor memori corrupt vulner '' differ vulner cve-2015-6162,,0.0,False,False,CWE-119,6,3,SECTRACK ,0
cve-2015-6034,2015-08-14,2015-10-29 00:00:00,,,epson network util 4.10 use weak permiss everyon full control eebsvc.ex allow local user gain privileg via trojan hors file,,0.0,False,False,CWE-264,1,2,CERT-VN ,9
cve-2015-6131,2015-08-14,2019-05-15 00:00:00,,,window media center microsoft window vista sp2 window 7 sp1 window 8 window 8.1 allow remot attack execut arbitrari code via craft .mcl file aka `` media center librari pars rce vulner '',,0.0,False,False,CWE-20,4,3,SECTRACK ,5
cve-2015-6111,2015-08-14,2019-05-15 00:00:00,,,ipsec microsoft window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 window 10 gold 1511 mishandl encrypt negoti allow remot authent user caus denial servic system hang via craft IP traffic aka `` window ipsec denial servic vulner '',,0.0,False,False,CWE-399,7,2,SECTRACK ,17
cve-2015-6108,2015-08-14,2019-05-15 00:00:00,,,the window font librari microsoft window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 offic 2007 sp3 offic 2010 sp2 word viewer .net framework 3.0 sp2 3.5 3.5.1 4 4.5 4.5.1 4.5.2 4.6 skype busi 2016 lync 2010 lync 2013 sp1 live meet 2007 consol silverlight 5 allow remot attack execut arbitrari code via craft embed font aka `` graphic memori corrupt vulner '',,0.0,False,False,CWE-119,36,7,SECTRACK SECTRACK SECTRACK SECTRACK SECTRACK SECTRACK ,0
cve-2015-6808,2015-09-04,2015-09-04 00:00:00,,,cross-sit script xss vulner spotlight modul 7.x-1.x 7.x-1.5 drupal allow remot authent user certain permiss inject arbitrari web script html via node titl,,0.0,False,False,CWE-79,6,2,,26
cve-2015-7319,2015-09-22,2015-09-30 00:00:00,,,sql inject vulner cpabc_appointments_admin_int_calendar_list.inc.php appoint book calendar plugin 1.1.8 wordpress allow remot attack execut arbitrari sql command via unspecifi vector relat updat usernam,,0.0,False,False,CWE-89,1,4,MISC ,27
cve-2015-7470,2015-09-29,2016-01-21 00:00:00,,,report builder ibm jazz report servic jr 5.x 5.0.2-rational-clm-ifix011 6.0 6.0-rational-clm-ifix005 allow man-in-the-middl attack obtain sensit inform via unspecifi vector demonstr login inform,,0.0,False,False,CWE-200,4,1,,6
cve-2015-7469,2015-09-29,2016-01-21 00:00:00,,,report builder ibm jazz report servic jr 5.x 5.0.2-rational-clm-ifix011 6.0 6.0-rational-clm-ifix005 allow remot authent user bypass intend read-onli restrict leverag jazzguest role,,0.0,False,False,CWE-264,4,1,,9
cve-2015-8307,2015-11-20,2016-04-11 00:00:00,,,the graphic driver huawei P8 smartphon softwar gra-tl00 gra-tl00c01b230 gra-cl00 gra-cl00c92b230 gra-cl10 gra-cl10c92b230 gra-ul00 gra-ul00c00b230 gra-ul10 gra-ul10c00b230 mate S smartphon softwar crr-tl00 crr-tl00c01b160sp01 crr-ul00 crr-ul00c00b160 crr-cl00 crr-cl00c92b161 allow attack caus denial servic system crash gain privileg via craft applic graphic permiss aka `` interfac access control vulner '' differ vulner cve-2015-8680,,0.0,False,False,CWE-284,10,1,,11
cve-2015-8473,2015-12-04,2016-04-20 00:00:00,,,the issu api redmin 2.6.8 3.0.x 3.0.6 3.1.x 3.1.2 allow remot authent user obtain sensit inform changeset messag leverag permiss read issu relat changeset project,,0.0,False,False,CWE-200,10,7,,6
cve-2015-8466,2015-12-04,2016-01-21 00:00:00,,,swift3 1.9 allow remot attack conduct replay attack via author request lack date header,,0.0,False,False,CWE-20,2,5,,5
cve-2015-8474,2015-12-04,2016-04-20 00:00:00,,,open redirect vulner valid_back_url function app/controllers/application_controller.rb redmin 2.6.7 3.0.x 3.0.5 3.1.x 3.1.1 allow remot attack redirect user arbitrari web site conduct phish attack via craft back_url paramet demonstr `` attacker.com '' differ vulner cve-2014-1985,,0.0,False,False,NVD-CWE-Other,10,5,,29
cve-2016-0635,2015-12-09,2016-07-25 00:00:00,,,unspecifi vulner enterpris manag op center compon oracl enterpris manag grid control 12.1.4 12.2.2 12.3.2 oracl health scienc inform manag compon oracl health scienc applic 1.2.8.3 2.0.2.3 3.0.1 oracl healthcar master person index compon oracl health scienc applic 2.0.12 3.0 4.0.1 oracl documak compon oracl insur applic 12.5 oracl insur calcul engin compon oracl insur applic 9.7.1 10.1.2 10.2.2 oracl insur polici administr j2ee oracl insur rule palett compon oracl insur applic 9.6.1 9.7.1 10.0.1 10.1.2 10.2.0 10.2.2 oracl retail integr bu compon oracl retail applic 15.0 oracl retail order broker compon oracl retail applic 5.1 5.2 15.0 primavera contract manag compon oracl primavera product suit 14.2 primavera P6 enterpris project portfolio manag compon oracl primavera product suit 8.2 8.3 8.4 15.1 15.2 16.1 oracl financi servic analyt applic infrastructur compon oracl financi servic applic 8.0 8.0.1 8.0.2 8.0.3 oracl commerc guid search oracl commerc experi manag compon oracl commerc 3.1.1 3.1.2 11.0 11.1 11.2 oracl agil plm compon oracl suppli chain product suit 9.3.4 9.3.5 oracl commun brm elast charg engin 11.2.0.0 11.3.0.0 oracl enterpris repositori enterpris repositori 12.1.3.0 oracl financi servic behavior detect platform 8.0.1 8.0.2 oracl hyperion essbas 12.2.1.1 oracl tuxedo system applic monitor tsam 11.1.1.2.0 11.1.1.2.1 11.1.1.2.1 12.1.1.1 12.1.3.0 12.2.2.0 oracl commun webrtc session control compon oracl commun applic subcompon secur spring 7.0 7.1 7.2 oracl endeca inform discoveri integr 3.2 converg commerc compon oracl retail applic 16.0.1 oracl ident manag 11.1.2.3.0 oracl enterpris manag mysql databas 12.1.4 oracl retail invoic match 12.0 13.0 13.1 13.2 14.0 14.1 oracl commun perform intellig center pic softwar prior 10.2.1 oracl knowledg compon oracl siebel crm subcompon answerflow spring framework version 8.5.1 8.5.1.7 8.6.0 allow remot authent user affect confidenti integr avail via unknown vector,,0.0,False,False,NVD-CWE-noinfo,36,17,BID ,30
cve-2016-0757,2015-12-16,2016-04-18 00:00:00,,,openstack imag servic glanc 2015.1.3 kilo 11.0.x 11.0.2 liberti show_multiple_loc enabl allow remot authent user chang imag statu upload new imag data remov last locat imag,,0.0,False,False,CWE-284,3,3,,11
